pid;name;mpc;cpu;mem;rss_mem;virt_mem;disk_io;disk_read;disk_write
26572;Fluentd;1;0.0;3.0625;1.5625;1.5;0.0;0.0;0.0
26572;Fluentd;2;5.9;81.19140625;18.62890625;62.5625;0.1467304229736328;0.1467304229736328;0.0
26572;Fluentd;3;100.0;93.8671875;25.41015625;68.45703125;0.9574956893920898;0.9574956893920898;0.0
26572;Fluentd;4;100.0;100.0625;28.47265625;71.58984375;1.3990297317504883;1.3990039825439453;2.574920654296875e-05
26572;Fluentd;5;99.9;119.19921875;37.73828125;81.4609375;2.4742250442504883;2.4741992950439453;2.574920654296875e-05
26572;Fluentd;6;100.0;127.578125;41.890625;85.6875;3.0423336029052734;3.0423078536987305;2.574920654296875e-05
26572;Fluentd;7;100.0;158.91796875;60.6484375;98.26953125;4.357854843139648;4.3578290939331055;2.574920654296875e-05
26572;Fluentd;8;50.0;248.48046875;83.85546875;164.625;4.841795921325684;4.841770172119141;2.574920654296875e-05
26572;Fluentd;9;100.0;253.93359375;86.515625;167.41796875;5.380561828613281;5.380536079406738;2.574920654296875e-05
26572;Fluentd;10;100.0;266.92578125;93.05859375;173.8671875;6.049731254577637;6.049679756164551;5.14984130859375e-05
26572;Fluentd;11;100.0;281.03515625;99.77734375;181.2578125;7.037910461425781;7.037858963012695;5.14984130859375e-05
26572;Fluentd;12;100.0;297.26171875;108.34765625;188.9140625;8.005346298217773;8.005294799804688;5.14984130859375e-05
26572;Fluentd;13;102.8;322.65625;123.25390625;199.40234375;8.793368339538574;8.793316841125488;5.14984130859375e-05
26572;Fluentd;14;8.6;325.58984375;125.0;200.58984375;8.793368339538574;8.793316841125488;5.14984130859375e-05
26572;Fluentd;15;0.0;325.58984375;125.0;200.58984375;8.793368339538574;8.793316841125488;5.14984130859375e-05
26572;Fluentd;16;0.0;325.58984375;125.0;200.58984375;8.793368339538574;8.793316841125488;5.14984130859375e-05
26572;Fluentd;17;5.9;326.1875;125.37109375;200.81640625;8.793368339538574;8.793316841125488;5.14984130859375e-05
26572;Fluentd;18;13.9;329.6875;127.11328125;202.57421875;8.793368339538574;8.793316841125488;5.14984130859375e-05
16964;Stanza;1;0.0;3.703125;1.44140625;2.26171875;0.0;0.0;0.0
16964;Stanza;2;5.9;47.84375;22.875;24.96875;0.000598907470703125;0.000598907470703125;0.0
16964;Stanza;3;11.8;50.17578125;24.91796875;25.2578125;0.000598907470703125;0.000598907470703125;0.0
16964;Stanza;4;48.6;55.72265625;27.734375;27.98828125;0.000598907470703125;0.000598907470703125;0.0
10708;Vector;1;0.0;2.15625;1.4609375;0.6953125;0.0;0.0;0.0
10708;Vector;2;5.7;16.52734375;12.4375;4.08984375;0.000324249267578125;0.000324249267578125;0.0
10708;Vector;3;0.0;17.01171875;12.76171875;4.25;0.000324249267578125;0.000324249267578125;0.0
10708;Vector;4;0.0;17.01171875;12.76171875;4.25;0.000324249267578125;0.000324249267578125;0.0
10708;Vector;5;0.0;17.01171875;12.76171875;4.25;0.000324249267578125;0.000324249267578125;0.0
10708;Vector;6;0.0;17.02734375;12.76953125;4.2578125;0.000324249267578125;0.000324249267578125;0.0
10708;Vector;7;0.0;18.21484375;13.546875;4.66796875;0.000324249267578125;0.000324249267578125;0.0
10708;Vector;8;8.3;18.515625;13.56640625;4.94921875;0.000324249267578125;0.000324249267578125;0.0
